,Tipo,Titulo,Año de estreno,Mes de estreno,ID
58,Movie,Foxcatcher,2014,2.0,tt1100089
59,Movie,Qu'allons-nous faire du temps qu'il nous reste?,2014,6.0,tt11010082
60,Movie,Betaab,2014,2.0,tt11012580
61,Movie,Dariya Dil,2014,2.0,tt11012612
62,Movie,Adalat,2014,2.0,tt11012544
63,Movie,Charno Ki Saugandh,2014,3.0,tt11012594
64,Movie,Ek Laila Teen Chaila,2014,9.0,tt11017716
65,Movie,Deewangi Had se,2014,5.0,tt11017702
66,Movie,Dil Lagal Dupatta Wali Se,2014,5.0,tt11017708
67,Movie,Ham Ke Daru Naahi Mehraru Chaahi,2014,12.0,tt11017724
68,Movie,Hathkadi,2014,10.0,tt11017776
69,Movie,Ek Nirahua Sarfira,2014,7.0,tt11017720
70,Movie,Jo Jeeta Wahi Sikander,2014,11.0,tt11046716
71,Movie,Jaan Lebu Ka Ho,2014,11.0,tt11046752
72,Movie,Thok Deb,2014,5.0,tt11047264
73,Movie,Khoon Bhari Hamaar Maang,2014,8.0,tt11046816
74,Movie,Laadla,2014,10.0,tt11046952
75,Movie,Jaaneman,2014,9.0,tt11046672
76,Movie,Sajna Mangiya Sajai Da Hamar,2014,7.0,tt11047106
77,Movie,Pyaar Mohabbat Zindabad,2014,7.0,tt11047030
78,Movie,Tere Naam,2014,6.0,tt11047176
79,Movie,Kache Dhaage,2014,1.0,tt11046764
80,Movie,Shola Shabnam,2014,8.0,tt11047134
81,Movie,Saiyan Ji Dilwa Mangelein,2014,5.0,tt11047074
82,Movie,Yoddha,2014,10.0,tt11057910
83,Movie,Mor w'Sbar,2014,11.0,tt11080296
84,Movie,Bidoun 2,2014,2.0,tt11080488
85,Movie,Baba Rangeela,2014,7.0,tt11092000
86,Movie,Dhund Lenge Manzil Hum,2014,10.0,tt11105424
87,Movie,Merchak Arbaa Yamim MiShte Shenot Or,2014,7.0,tt11111168
88,Movie,Buoc Khe Dên Hanh Phúc,2014,10.0,tt11122174
89,Movie,Genuine Love,2014,9.0,tt11137818
90,Movie,Love Evolutionism,2014,8.0,tt11151636
91,Movie,Toefl Al-Shams,2014,2.0,tt11192758
92,Movie,Min Ayna Nabda?,2014,10.0,tt11198430
93,Movie,Desole,2014,8.0,tt11204476
94,Movie,Six,2014,11.0,tt11210184
95,Movie,Say a Little Prayer,2014,12.0,tt11238066
96,Movie,Big Eyes,2014,2.0,tt1126590
97,Movie,Off Da Hook,2014,7.0,tt11315892
98,Movie,Cry of the Butterfly,2014,7.0,tt1133511
99,Movie,Firebird,2014,10.0,tt11348898
100,Movie,I Believe in Unicorns,2014,5.0,tt1141702
101,Movie,The Brothers Karamazov,2014,10.0,tt11430022
102,Movie,After,2014,8.0,tt1147681
103,Movie,Así como en la lluvia,2014,10.0,tt11567836
104,Movie,Tafkik,2014,12.0,tt11648708
105,Movie,17 Tahun Ke Atas,2014,,tt11738452
106,Movie,Pillangók,2014,10.0,tt1180316
107,Movie,Dreamboys,2014,,tt11861196
108,Movie,Jack and the Beanstalk,2014,,tt11861154
109,Movie,Star Cross'd Jammers,2014,7.0,tt11866704
110,Movie,Kaadhal 2014,2014,8.0,tt11880638
111,Movie,Jai Ho,2014,1.0,tt1188982
112,Movie,Kagdi Killa,2014,,tt11903728
113,Movie,My Lady,2014,8.0,tt11974496
114,Movie,You're Not You,2014,12.0,tt1198156
115,Movie,Beste Chance,2014,6.0,tt1198336
116,Movie,Jack Ryan: Shadow Recruit,2014,1.0,tt1205537
117,Movie,Preethi Geethi Ityaadi,2014,6.0,tt12087846
118,Movie,Lamat,2014,7.0,tt12087688
119,Movie,Easter Sunday,2014,4.0,tt12152770
120,Movie,Non lo so ancora,2014,7.0,tt12153836
121,Movie,Educator,2014,,tt12157298
122,Movie,Jonesy,2014,,tt12157352
123,Movie,Kill the Messenger,2014,10.0,tt1216491
124,Movie,The Independent Game,2014,1.0,tt12223734
125,Movie,Hype Nation 3D,2014,1.0,tt1225834
126,Movie,Swish,2014,4.0,tt12275114
127,Movie,Meendum Amman,2014,4.0,tt12299920
128,Movie,Dark Rainbow Part 2,2014,5.0,tt12325842
129,Movie,Darbast Azadi,2014,10.0,tt12349948
130,Movie,Harijan (Bangla),2014,11.0,tt12386566
131,Movie,Bonne Fête Maman,2014,11.0,tt12387036
132,Movie,Unexpected Strangers,2014,6.0,tt12404198
133,Movie,Serena,2014,11.0,tt1247690
134,Movie,Bittersweet Chocolate,2014,11.0,tt12488306
135,Movie,Summer to Winter,2014,11.0,tt12491724
136,Movie,Kali (3ème partie de la Tétralogie Les Chemins Cinétiques),2014,7.0,tt12492634
137,Movie,Lâzward (2ème partie de la Tétralogie Les Chemins Cinétiques),2014,7.0,tt12492592
138,Movie,Sarasvati (4ème partie de la Tétralogie Les Chemins Cinétiques),2014,7.0,tt12492652
139,Movie,About a Young Man,2014,,tt12531542
140,Movie,L'Art de s'égarer ou l'image du bonheur,2014,,tt12533538
141,Movie,300: Rise of an Empire,2014,3.0,tt1253863
142,Movie,Wesh Sojon,2014,10.0,tt12561204
143,Movie,Small Black Fish,2014,8.0,tt12589734
144,Movie,Más que el agua,2014,,tt12614730
145,Movie,Rendas No Ar,2014,,tt12641230
146,Movie,Vijay Tilak,2014,6.0,tt12650580
147,Movie,Saints and Soldiers: The Void,2014,8.0,tt1270114
148,Movie,Dying of the Light,2014,3.0,tt1274586
149,Movie,Aulad,2014,1.0,tt12819590
150,Movie,Paso a Pasito,2014,,tt12882406
151,Movie,Ready 2 Die,2014,3.0,tt1290475
152,Movie,Donde Estaba Dios?,2014,,tt12908346
153,Movie,Harivu,2014,12.0,tt12923344
154,Movie,27 B Beadon Street,2014,1.0,tt12925006
155,Movie,Los Enemigos del Dolor,2014,8.0,tt12942192
156,Movie,The Angriest Man in Brooklyn,2014,9.0,tt1294970
157,Movie,Nenhures,2014,12.0,tt12958216
158,Movie,Hagh-e sokoot,2014,2.0,tt12993044
159,Movie,Virudhalaam Pattu,2014,,tt13005084
160,Movie,Innuma Nammala Namburanga,2014,12.0,tt13010598
161,Movie,1 Pandhu 4 Run 1 Wicket,2014,12.0,tt13010546
162,Movie,Natpin Nooram Naal,2014,12.0,tt13010622
163,Movie,Nadodi Paravai,2014,12.0,tt13010618
164,Movie,Naangellam Edakoodam,2014,12.0,tt13010586
165,Movie,Endrume Anandham,2014,,tt13010638
166,Movie,Manam Konda Kadhal,2014,11.0,tt13010566
167,Movie,Pagadai Pagadai,2014,12.0,tt13010588
168,Movie,13 Am Pakkam Parkka,2014,12.0,tt13010554
169,Movie,Yaaro Oruvan,2014,12.0,tt13010614
170,Movie,Blue Ridge,2014,6.0,tt1303235
171,Movie,I ekdikisi tou Dionysou,2014,11.0,tt13037736
172,Movie,Iyakunar,2014,12.0,tt13045440
173,Movie,Athimalai Muthupandi,2014,1.0,tt13057644
174,Movie,Away from Here,2014,5.0,tt1305618
175,Movie,Aluchatiyam,2014,,tt13057394
176,Movie,En Kadhal Pudithu,2014,,tt13057650
177,Movie,Madhavanum Malarvizhiyum,2014,2.0,tt13070504
178,Movie,Kovalanin Kadhali,2014,2.0,tt13070482
179,Movie,Chithirai Thingal,2014,2.0,tt13070554
180,Movie,Yasagan,2014,3.0,tt13070622
181,Movie,Pongadi Neengalum Unga Kaadhalum,2014,4.0,tt13070714
182,Movie,Koottam,2014,4.0,tt13070654
183,Movie,Amma Ammamma,2014,5.0,tt13070874
184,Movie,Pani Vizhum Nilavu,2014,3.0,tt13070614
185,Movie,Marumunai,2014,3.0,tt13070626
186,Movie,Vilasam,2014,11.0,tt13070358
187,Movie,Vidiyum Varai Pesu,2014,1.0,tt13070434
188,Movie,Mun Andhi Saaral,2014,1.0,tt13070406
189,Movie,Nee En Uyire,2014,5.0,tt13070750
190,Movie,Kandharvan,2014,4.0,tt13070670
191,Movie,Ottam Aarambam,2014,6.0,tt13070966
192,Movie,Vazhum Deivam,2014,6.0,tt13071136
193,Movie,Veeran Muthu Raaku,2014,,tt13070596
194,Movie,Adhu Vera Idhu Vera,2014,5.0,tt13070898
195,Movie,Eppothum Vendran,2014,5.0,tt13070794
196,Movie,Thirudu Pogatha Manasu,2014,6.0,tt13071132
197,Movie,Hogenakkal,2014,5.0,tt13070920
198,Movie,Manaivi Amaivathellam,2014,,tt13070568
199,Movie,Dhavani Kaatru,2014,5.0,tt13070728
200,Movie,Nila Kaaikirathu,2014,5.0,tt13070576
201,Movie,Enn Nenjai Thottaye,2014,5.0,tt13070836
202,Movie,Uyirukku Uyiraga,2014,6.0,tt13071144
203,Movie,Rettai Kadhir,2014,2.0,tt13070526
204,Movie,Karpavai Katrapin,2014,4.0,tt13070690
205,Movie,Innarku Innarendru,2014,8.0,tt13086764
206,Movie,Kalla Saavi,2014,9.0,tt13086896
207,Movie,Sandiyar,2014,8.0,tt13086868
208,Movie,Vachikava,2014,9.0,tt13086918
209,Movie,Ambel Jhoot,2014,9.0,tt13087086
210,Movie,Jamaai,2014,10.0,tt13087298
211,Movie,Tamilselvanum 50KM Kalaiselviyum,2014,,tt13087050
212,Movie,Chinnan Chiriya Vanna Paravai,2014,11.0,tt13087510
213,Movie,Aalamaram,2014,10.0,tt13087244
214,Movie,Yaavum Vasappadum,2014,10.0,tt13087430
215,Movie,Panduvam,2014,10.0,tt13087538
216,Movie,Thalaikeezh,2014,7.0,tt13086734
217,Movie,Muyal,2014,10.0,tt13087356
218,Movie,Puthiyathor Ulagam Seivom,2014,8.0,tt13086880
219,Movie,Thalakkonam,2014,10.0,tt13087144
220,Movie,Dhanush 5am Vaguppu,2014,6.0,tt13086596
221,Movie,Murugatrupadai,2014,11.0,tt13098808
222,Movie,Velmurugan Borewells,2014,11.0,tt13098886
223,Movie,Cavallo di Troia,2014,,tt13107822
224,Movie,Motvind,2014,4.0,tt13133212
225,Movie,Portrait de Rosa,2014,7.0,tt13149210
226,Movie,Bullion,2014,4.0,tt13161184
227,Movie,Balbesit: 'n Studie in Stemme,2014,8.0,tt13188000
228,Movie,Rough Hustle,2014,,tt1319734
229,Movie,Travelator,2014,11.0,tt1320115
230,Movie,Five to Five (5 to 5),2014,3.0,tt13217680
231,Movie,Daughter,2014,11.0,tt13249848
232,Movie,Something Wicked,2014,4.0,tt1327601
233,Movie,Life,2014,1.0,tt13310968
234,Movie,Alice: A True Story,2014,2.0,tt13311234
235,Movie,Kulamkuthikal,2014,1.0,tt13310960
236,Movie,Dial 1091,2014,2.0,tt13311146
237,Movie,Nattarangu,2014,,tt13311274
238,Movie,Snehamulloral Koodeyullappol,2014,,tt13311296
239,Movie,Black Forest,2014,1.0,tt13311120
240,Movie,Ghalbe Sefide Ghasedakha,2014,1.0,tt13325338
241,Movie,Penguin High,2014,6.0,tt13416444
242,Movie,Let's Play Jazz,2014,,tt13449620
243,Movie,Machado do Brasil,2014,1.0,tt13475864
244,Movie,Ixel,2014,1.0,tt13509440
245,Movie,King's White Horse,2014,,tt13524874
246,Movie,If I Stay,2014,9.0,tt1355630
247,Movie,Borrowed Moments,2014,2.0,tt1369697
248,Movie,This Is Where I Leave You,2014,9.0,tt1371150
249,Movie,Atlanta (ATL) Undercover,2014,,tt1373458
250,Movie,Due West 2: Our Sex Vacation,2014,1.0,tt13764306
251,Movie,Relaciones inesperadas,2014,,tt13786450
252,Movie,Al límite del placer,2014,,tt13799844
253,Movie,El Ardor,2014,9.0,tt1384925
254,Movie,Thottal Vidathu,2014,8.0,tt13883658
255,Movie,Xiyonat girdobi,2014,,tt13937916
256,Movie,Revenge of the Green Dragons,2014,11.0,tt1396523
257,Movie,Of Silence,2014,1.0,tt1405413
258,Movie,Rogelio,2014,11.0,tt14056594
259,Movie,Sri Guru Thipperudraswamy Pavada,2014,7.0,tt14086202
260,Movie,Ee Dil Helide Nee Bekantha,2014,10.0,tt14085136
261,Movie,Asa Ha Atarangi,2014,3.0,tt14078220
262,Movie,Bhakar,2014,5.0,tt14078244
263,Movie,Software Ganda,2014,12.0,tt14085040
264,Movie,Jothi Alias Kothi Raja,2014,12.0,tt14079560
265,Movie,Sorry Kane,2014,12.0,tt14084414
266,Movie,Gandhiji Kanasu,2014,8.0,tt14085486
267,Movie,Kolaahala,2014,12.0,tt14084932
268,Movie,143,2014,8.0,tt14085694
269,Movie,Gante Ondu,2014,10.0,tt14085186
270,Movie,Makkale Maanikya,2014,7.0,tt14086282
271,Movie,Miss Mallige,2014,8.0,tt14085804
272,Movie,Jasmine 5,2014,7.0,tt14086326
273,Movie,Jai Bajarang Bali,2014,12.0,tt14084988
274,Movie,Paramashiva,2014,9.0,tt14085444
275,Movie,Ingale Maarga,2014,9.0,tt14085460
276,Movie,Simhadri,2014,10.0,tt14085364
277,Movie,Sadagara,2014,4.0,tt14090888
278,Movie,Panganama,2014,8.0,tt14085628
279,Movie,Chirayu,2014,12.0,tt14084950
280,Movie,Baanaadi,2014,12.0,tt14085002
281,Movie,Namo Boothatma,2014,10.0,tt14085060
282,Movie,Naanu Hemanth Avalu Sevanthi,2014,12.0,tt14084970
283,Movie,Central Jail,2014,11.0,tt14085116
284,Movie,Pyar Ka Gol Gumbaz,2014,12.0,tt14085020
285,Movie,Pungi Daasa,2014,5.0,tt14090672
286,Movie,Manada Mareyalli,2014,3.0,tt14090904
287,Movie,Hara,2014,5.0,tt14090688
288,Movie,Doodh Sagar,2014,9.0,tt14085396
289,Movie,Usiriginta Neene Attira,2014,10.0,tt14085316
290,Movie,Nenapideya,2014,9.0,tt14085432
291,Movie,Pandya,2014,9.0,tt14085422
292,Movie,Baasu Ade Hale Kathe,2014,8.0,tt14085578
293,Movie,Billion Dollar Baby,2014,6.0,tt14090582
294,Movie,Jamboo Savari,2014,6.0,tt14090546
295,Movie,Paru Wife of Devadas,2014,6.0,tt14090342
296,Movie,Matthe Satyagraha,2014,6.0,tt14090562
297,Movie,Malli,2014,4.0,tt14090796
298,Movie,Love Is Poison,2014,6.0,tt14090374
299,Movie,Aathma Sakshi,2014,4.0,tt14090846
300,Movie,Veera Pulikeshi,2014,4.0,tt14090834
301,Movie,Typical Kailas,2014,6.0,tt14090444
302,Movie,Gargar Mandala,2014,6.0,tt14090464
303,Movie,24 Carat,2014,6.0,tt14090494
304,Movie,Kwatle Satisha,2014,4.0,tt14090856
305,Movie,Maryade,2014,,tt14090876
306,Movie,Crazy Star,2014,2.0,tt14097228
307,Movie,Lights Camera Action,2014,3.0,tt14097074
308,Movie,Karnataka Ayodhyapuram,2014,1.0,tt14097502
309,Movie,Love Show,2014,3.0,tt14097020
310,Movie,Kwatle,2014,2.0,tt14097218
311,Movie,Angaaraka,2014,1.0,tt14097454
312,Movie,Anjada Gandu,2014,1.0,tt14097274
313,Movie,Savaal,2014,3.0,tt14097044
314,Movie,Vishwa Vinayaka,2014,1.0,tt14097484
315,Movie,Kalyanamasthu,2014,2.0,tt14097136
316,Movie,Nakra,2014,2.0,tt14097260
317,Movie,Amanusha,2014,1.0,tt14097284
318,Movie,Navarangi,2014,1.0,tt14097390
319,Movie,Vasundhara,2014,1.0,tt14097290
320,Movie,Karodpathi,2014,3.0,tt14097056
321,Movie,Nage Bomb,2014,1.0,tt14097470
322,Movie,Little Master,2014,12.0,tt14097208
323,Movie,Dosthi,2014,1.0,tt14097434
324,Movie,Shivajinagara,2014,2.0,tt14097148
325,Movie,Sold,2014,3.0,tt1411956
326,Movie,A Quiet Inquisition,2014,6.0,tt1421023
327,Movie,Santa Joana dos Matadouros,2014,10.0,tt14217026
328,Movie,Jô-ô gêmu,2014,12.0,tt14279430
329,Movie,Via Papikondalu,2014,,tt14311470
330,Movie,Nocturne,2014,10.0,tt1434446
331,Movie,Why We Cry,2014,5.0,tt1441931
332,Movie,Amigos distantes,2014,,tt14416698
333,Movie,Testament of Youth,2014,6.0,tt1441953
334,Movie,Ángeles de la noche,2014,,tt14431370
335,Movie,Cornea,2014,5.0,tt1444257
336,Movie,The Letters,2014,12.0,tt1445208
337,Movie,Panchabhoothalu Sakshiga,2014,12.0,tt14502692
338,Movie,Choosinodiki Choosinanta,2014,12.0,tt14502722
339,Movie,Flight Without Wings,2014,6.0,tt14518224
340,Movie,Vichakshana,2014,4.0,tt14521290
341,Movie,Nuvve Naa Bangaram,2014,3.0,tt14520816
342,Movie,Hrudayam Ekkadunnadi,2014,3.0,tt14520734
343,Movie,Love Dot Com,2014,2.0,tt14521190
344,Movie,Naa Rakumarudu,2014,2.0,tt14521174
345,Movie,Ganpati Bappa Morya,2014,9.0,tt14521402
346,Movie,Alibaba Okkade Donga,2014,2.0,tt14521134
347,Movie,Veedu Chaala Worst,2014,6.0,tt14521314
348,Movie,Raj Mahal,2014,9.0,tt14521408
349,Movie,Kamalatho Naa Prayanam,2014,,tt14521116
350,Movie,Savior,2014,3.0,tt14520804
351,Movie,Tolet 4 Bachelors Only,2014,3.0,tt14520830
352,Movie,Chatting,2014,7.0,tt14521388
353,Movie,Medaram Jathara,2014,1.0,tt14521246
354,Movie,Jabilli Kosam Akasamalle,2014,6.0,tt14521354
355,Movie,Kiraak,2014,9.0,tt14521396
356,Movie,Special Class,2014,3.0,tt14520758
357,Movie,Inka Emi Anukoleduu,2014,6.0,tt14521374
358,Movie,Celebrity,2014,1.0,tt14521268
359,Movie,Boy Friend Leni Ammayi Unda,2014,9.0,tt14526884
360,Movie,"Rio, Eu Te Amo",2014,7.0,tt1456606
361,Movie,Lakhon Mein Ek Hamar Bhauji,2014,1.0,tt14622664
362,Movie,Ask-i Suzan,2014,12.0,tt14619780
363,Movie,Tu Ki Jaane Sajjna,2014,6.0,tt14661132
364,Movie,Innenkind,2014,12.0,tt1468325
365,Movie,Learning Curves,2014,5.0,tt14702522
366,Movie,Hui Ming,2014,7.0,tt14747276
367,Movie,Paathi Unakku Paathi Enakku,2014,2.0,tt14747862
368,Movie,Bir Don Juan Oldurmek,2014,7.0,tt14765152
369,Movie,The David Dance,2014,3.0,tt1478354
370,Movie,Les Traces du Passé,2014,7.0,tt14826324
371,Movie,Bharatiyano Chala Ek Hou Ya,2014,8.0,tt14887330
372,Movie,The End of Something,2014,12.0,tt1494819
373,Movie,Victimized,2014,9.0,tt1496035
374,Movie,Pacing the Cage,2014,1.0,tt1496831
375,Movie,Tapasvi,2014,4.0,tt15036112
376,Movie,Tegarg Va Aftab,2014,,tt15123564
377,Movie,The Students,2014,4.0,tt15132624
378,Movie,Vsem vsego khoroshego,2014,,tt15244530
379,Movie,Hero,2014,,tt1527827
380,Movie,Exodus: Gods and Kings,2014,12.0,tt1528100
381,Movie,Nandigramer Chokher Pani,2014,1.0,tt15278108
382,Movie,Love You Bangaram,2014,1.0,tt15368296
383,Movie,WHO U.S.?,2014,,tt1537908
384,Movie,Behind the Door of a Secret Girl,2014,10.0,tt1541627
385,Movie,Agadir Express,2014,,tt15444516
386,Movie,3 Mile Limit,2014,3.0,tt1545295
387,Movie,Chilla,2014,1.0,tt1546379
388,Movie,Kobzar. Istoriya odniyeyi knyhy,2014,3.0,tt15471888
389,Movie,Her Wilderness,2014,8.0,tt1548991
390,Movie,Born of War,2014,2.0,tt1554921
391,Movie,Cure: The Life of Another,2014,10.0,tt1554929
392,Movie,Girltrash: All Night Long,2014,2.0,tt1555440
393,Movie,Glory Days,2014,4.0,tt1563127
394,Movie,The Mortal Instruments: City of Heavenly Fire,2014,5.0,tt15640124
395,Movie,O Manishi Katha,2014,12.0,tt15655254
396,Movie,Faan se trein,2014,1.0,tt1565945
397,Movie,Tunnel,2014,3.0,tt15675708
398,Movie,The Humbling,2014,1.0,tt1568343
399,Movie,The Skeleton Twins,2014,11.0,tt1571249
400,Movie,Why Do I Cry?,2014,9.0,tt1579256
401,Movie,Naked Angel,2014,6.0,tt1587421
402,Movie,Katherine of Alexandria,2014,8.0,tt1587685
403,Movie,From Leicester to Hollywood,2014,2.0,tt1594903
404,Movie,Pawn Sacrifice,2014,12.0,tt1596345
405,Movie,Spomenik Majklu Dzeksonu,2014,10.0,tt1597725
406,Movie,The Drop,2014,10.0,tt1600196
407,Movie,Princess,2014,3.0,tt1603900
408,Movie,A Fine Step,2014,6.0,tt1604100
409,Movie,Frank,2014,4.0,tt1605717
410,Movie,Effie Gray,2014,10.0,tt1605798
411,Movie,Better Living Through Chemistry,2014,3.0,tt1609479
412,Movie,Emulsion,2014,10.0,tt1615156
413,Movie,Cesar Chavez,2014,3.0,tt1621046
414,Movie,My Legacy,2014,2.0,tt1622997
415,Movie,Hector and the Search for Happiness,2014,10.0,tt1626146
416,Movie,When the World's on Fire,2014,4.0,tt1628061
417,Movie,Verdades y Mentiras,2014,10.0,tt1631445
418,Movie,Missing William,2014,3.0,tt1633224
419,Movie,The Prophet,2014,8.0,tt1640718
420,Movie,The Last Day of Winter,2014,11.0,tt1644695
421,Movie,Million Dollar Arm,2014,5.0,tt1647668
422,Movie,Gloria Jesus,2014,,tt1647360
423,Movie,Magic Men,2014,3.0,tt1651951
424,Movie,Cut Bank,2014,4.0,tt1661820
425,Movie,From A to B,2014,1.0,tt1666287
426,Movie,Alongside Night,2014,,tt1667061
427,Movie,The Calling,2014,8.0,tt1666335
428,Movie,Six Dance Lessons in Six Weeks,2014,12.0,tt1670994
429,Movie,PHX (Phoenix),2014,6.0,tt1671583
430,Movie,Shades of Gray,2014,,tt1671719
431,Movie,Jamesy Boy,2014,1.0,tt1673734
432,Movie,The Creep Behind the Camera,2014,4.0,tt1686027
433,Movie,Vampire Academy,2014,2.0,tt1686821
434,Movie,Grand Street,2014,2.0,tt1690544
435,Movie,Semper Fidel,2014,6.0,tt1691451
436,Movie,White Dwarf,2014,,tt1691928
437,Movie,Luna,2014,9.0,tt1695388
438,Movie,"Alexander and the Terrible, Horrible, No Good, Very Bad Day",2014,10.0,tt1698641
439,Movie,Hoje Eu Quero Voltar Sozinho,2014,4.0,tt1702014
440,Movie,Every Secret Thing,2014,4.0,tt1706598
441,Movie,Glass Chin,2014,6.0,tt1714843
442,Movie,Chambers Gate,2014,2.0,tt1715751
443,Movie,Desiree,2014,9.0,tt1718763
444,Movie,Before I Go to Sleep,2014,9.0,tt1726592
445,Movie,The Lashman,2014,4.0,tt1727375
446,Movie,Compound,2014,10.0,tt1729536
447,Movie,Bare Knuckle,2014,5.0,tt1729517
448,Movie,Supernova,2014,4.0,tt1730764
449,Movie,Top je bio vreo,2014,1.0,tt1740552
450,Movie,Jersey Boys,2014,6.0,tt1742044
451,Movie,3.14...,2014,,tt1740719
452,Movie,The Dark Forest,2014,,tt1740697
453,Movie,Sabotage,2014,5.0,tt1742334
454,Movie,Drummer for the Mob,2014,,tt1743230
455,Movie,Hullo,2014,9.0,tt1744770
456,Movie,Plemya,2014,2.0,tt1745787
457,Movie,Lines,2014,12.0,tt1745936
458,Movie,Pennsylvania Holy Ghosts,2014,1.0,tt1748256
459,Movie,Drive-Through: The Story Movie,2014,8.0,tt1753741
460,Movie,The Hero,2014,2.0,tt1753900
461,Movie,Little Terrors,2014,9.0,tt1754137
462,Movie,El grito en la sangre,2014,4.0,tt1758603
463,Movie,Persecuted,2014,7.0,tt1761005
464,Movie,She's Funny That Way,2014,7.0,tt1767372
465,Movie,Stonehearst Asylum,2014,10.0,tt1772264
466,Movie,Down the Chain,2014,9.0,tt1776162
467,Movie,50 to 1,2014,5.0,tt1777595
468,Movie,The Grim Sleeper,2014,3.0,tt1784664
469,Movie,Inherent Vice,2014,2.0,tt1791528
470,Movie,Never a Neverland,2014,2.0,tt1790788
471,Movie,While We're Young,2014,7.0,tt1791682
472,Movie,A Lesson of Love,2014,2.0,tt1791441
473,Movie,Rudderless,2014,2.0,tt1798243
474,Movie,City of Dust,2014,,tt1798614
475,Movie,Lucia de B.,2014,4.0,tt1800338
476,Movie,The Unlovables,2014,,tt1801549
477,Movie,Unbroken,2014,1.0,tt1809398
478,Movie,The HR Guy,2014,,tt1819700
479,Movie,Annie,2014,12.0,tt1823664
480,Movie,Tainted Rose,2014,10.0,tt1822321
481,Movie,Pierrot Lunaire,2014,2.0,tt1824204
482,Movie,Chung-A,2014,9.0,tt1824936
483,Movie,Mad As Hell,2014,2.0,tt1826550
484,Movie,AgAu,2014,12.0,tt1828945
485,Movie,Don Peyote,2014,5.0,tt1828968
486,Movie,Hyena,2014,3.0,tt1837574
487,Movie,Winter's Tale,2014,2.0,tt1837709
488,Movie,Northern Soul,2014,10.0,tt1837613
489,Movie,Maybe Tomorrow,2014,,tt1852023
490,Movie,Time,2014,,tt1857921
